dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_2b5cf73168e843ad,vae_encode_206a72f6,vae_encode,2780441,2780441.00,316755880.09,316755881.52,316931775.14,1,10,8,439.72,175888,175.888,0.440,952113793,95211379,1816.01,0.57,1.43,-1,-1,0.00
dag_73521c52df4a4ee2,vae_encode_b45d1486,vae_encode,2781118,2781118.00,316931775.14,316931776.57,317166276.19,1,8,4,586.24,234494,234.494,0.586,888306072,88830607,1694.31,0.86,1.43,-1,-1,0.00
dag_9cfa186e1be640f1,lora_load_17c0efdf,lora_load,2782505,2782505.00,317166276.19,317166277.61,319712757.22,1,12,12,6366.20,2546478,2546.478,6.366,995191258,99519125,1898.18,0.69,1.42,-1,-1,0.00
dag_b3ad0cb1c578462a,vae_encode_fedfc1a0,vae_encode,2793927,2793927.00,319712757.22,319712758.65,319945085.27,1,7,2,580.80,232321,232.321,0.581,693205625,69320562,1322.18,0.78,1.43,-1,-1,0.00
dag_cc13da5946be419a,vae_encode_2c70e744,vae_encode,2809280,2809280.00,319945085.27,319945086.69,320145447.31,1,9,6,500.89,200355,200.355,0.501,1348065213,134806521,2571.23,0.42,1.42,-1,-1,0.00
dag_686a4d06c520423e,vae_encode_e3ec36b3,vae_encode,2817846,2817846.00,320145447.31,320145448.73,320361763.34,1,9,6,540.77,216309,216.309,0.541,1182899574,118289957,2256.20,0.41,1.42,-1,-1,0.00
dag_e7fd5048fb58446d,vae_encode_e9d9cf86,vae_encode,2821020,2821020.00,320361763.34,320361764.77,320513938.39,1,9,6,380.43,152172,152.172,0.380,1022286399,102228639,1949.86,0.48,1.43,-1,-1,0.00
dag_39b684490c9b4e29,vae_encode_70c5fb3f,vae_encode,2821233,2821233.00,320513938.39,320514008.24,320514498.14,2,1000,16,415.99,166394,166.394,0.416,790009987,79000998,1506.82,0.82,69.85,-1,-1,0.00
dag_6d30b4578de2496d,vae_encode_b7743a34,vae_encode,2826995,2826995.00,320514498.14,320514568.42,320514996.40,2,1000,16,353.52,141407,141.407,0.354,829935253,82993525,1582.98,0.64,70.28,-1,-1,0.00
dag_4386f0e03e0e406c,lora_load_28e62d3d,lora_load,2840447,2840447.00,320514996.40,320515066.68,320521880.40,2,1000,16,6739.25,2695701,2695.701,6.739,954905685,95490568,1821.34,0.45,70.28,-1,-1,0.00
